,sitios,fecha,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,cr_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica
153,Náutico 400 m,31/10/2022,18.6,13.0,7.38,,False,False,False,True,120.0,80.0,20.0,5.1,0.71,0.49,0.31,,,20.0,,17.0,,41.0
154,Pejerrey Club 400 m,31/10/2022,18.3,13.0,7.0,,False,False,True,False,900.0,800.0,20.0,5.6,0.64,0.76,0.44,,39.0,25.0,6.0,63.7,,36.0
155,Calle 14 y Costa - Salida cloaca,31/10/2022,15.04,11.0,11.02,,False,False,False,False,1600.0,1600.0,320.0,7.2,0.45,0.88,0.28,,37.0,37.0,12.0,92.4,,40.0
156,Puerto Trinidad calle 47,31/10/2022,18.06,16.0,10.39,,False,False,False,False,360.0,330.0,100.0,8.5,0.66,0.31,0.31,,30.0,25.0,,8.5,,39.0
157,Costanera Hudson Calle 63,31/10/2022,18.7,12.0,8.54,,False,False,False,False,600.0,500.0,270.0,5.9,0.22,0.51,0.31,,48.0,34.0,8.0,11.7,,40.0
158,Boca Cerrada (Res.Nat. Punta Lara),31/10/2022,,10.0,,,False,False,False,False,150.0,100.0,30.0,6.2,0.14,0.6,0.38,,72.0,39.0,10.0,74.2,,41.0
159,Camping Eva Perón,31/10/2022,16.0,7.0,11.05,,False,False,False,False,210.0,80.0,90.0,5.9,0.15,0.36,0.21,,33.0,31.0,,36.5,0.19,38.0
160,Toma de agua Club de Pesca,31/10/2022,17.2,6.0,8.38,,False,False,False,False,95.0,35.0,50.0,5.7,0.41,0.29,0.23,,46.0,26.0,,29.4,,41.0
161,Arroyo El Gato,31/10/0202,18.0,4.0,7.36,,False,False,False,False,800.0,700.0,220.0,5.4,2.3,0.36,0.23,,,23.0,,16.7,,37.0
162,Ensenada Prefectura Isla Santiago,31/10/0202,17.1,5.0,8.98,,False,False,False,False,130.0,30.0,45.0,6.1,0.4,0.24,0.24,,,39.0,,0.6,,54.0
163,Balneario Palo Blanco,31/10/2022,10.0,12.0,,,False,False,False,True,800.0,600.0,400.0,6.9,0.38,0.24,0.24,,,23.0,,2.1,,43.0
164,Diagonal 66 (descarga cloaca),31/10/2022,10.0,12.0,,,False,True,False,True,80000.0,80000.0,12000.0,5.2,1.2,30.12,0.39,,31.0,18.2,,20.2,,37.0
165,Playa La Bagliardi,31/10/2022,10.0,12.0,,,False,False,False,True,1400.0,1000.0,380.0,4.6,0.8,0.45,0.43,,,40.0,,0.2,,49.0
166,Balneario Municipal,31/10/2022,10.0,12.0,,,False,False,False,True,1800.0,1500.0,500.0,5.2,0.55,0.27,0.27,,39.0,90.0,5.0,10.5,,39.0
167,Playa La Balandra,31/10/2022,10.0,12.0,,,False,False,False,True,900.0,600.0,480.0,5.1,0.21,0.48,0.35,,,70.0,5.0,48.0,,34.0
